Rank,Player,High School,Position,Height / Weight,Rating,Year,Star,Height,Weight
159-1,Nick Blair,,SF,6-5 / 190,89,2015,3.0,6-5,190
160-1,Samir Sehic,,C,6-9 / 250,89,2015,3.0,6-9,250
161-1,Brodricks Jones,,PF,6-8 / 190,89,2015,3.0,6-8,190
162-1,Justin Robinson,,PG,6-1 / 170,89,2015,3.0,6-1,170
163-1,Jacob Evans,,SG,6-5 / 200,89,2015,3.0,6-5,200
164-1,Terrence Phillips,,PG,5-11 / 175,89,2015,3.0,5-11,175
165-1,A.J. Turner,,SF,6-6 / 185,89,2015,3.0,6-6,185
166-1,Kyle Ahrens,,SG,6-5.5 / 195,89,2015,3.0,6-5.5,195
167-1,Shizz Alston Jr.,,SG,6-4 / 165,89,2015,3.0,6-4,165
168-1,Melvin Frazier,,SF,6-4 / 185,89,2015,3.0,6-4,185
169-1,Leroy Butts,,PF,6-7 / 180,89,2015,3.0,6-7,180
170-1,Ryan Cline,,SG,6-5 / 180,89,2015,3.0,6-5,180
171-1,Kaleb Johnson,,SF,6-6 / 185,89,2015,3.0,6-6,185
172-1,Ty Hudson,,PG,6-1 / 200,89,2015,3.0,6-1,200
173-1,Davon Dillard,,SG,6-5 / 200,89,2015,3.0,6-5,200
174-1,Dean Wade,,PF,6-8 / 215,89,2015,3.0,6-8,215
175-1,Josh Reaves,,SG,6-4 / 185,89,2015,3.0,6-4,185
176-1,Jarred Reuter,,PF,6-8 / 235,89,2015,3.0,6-8,235
177-1,David Crisp,,PG,6-1 / 180,89,2015,3.0,6-1,180
178-1,Derek Ogbeide,,C,6-8 / 240,89,2015,3.0,6-8,240
179-1,Dusan Kovacevic,,PF,6-10 / 230,89,2015,3.0,6-10,230
180-1,Levi  Bradley,,SF,6-5 / 170,89,2015,3.0,6-5,170
181-1,Nate Grimes,,SF,6-7 / 190,89,2015,3.0,6-7,190
182-1,Josh Sharma,,PF,6-11 / 215,89,2015,3.0,6-11,215
183-1,Antonio Vrankovic,,PF,6-11 / 268,88,2015,3.0,6-11,268
184-1,Amarveer Singh,,SF,6-7 / 180,88,2015,3.0,6-7,180
185-1,Jonathan Nwankwo,,C,6-10 / 245,88,2015,3.0,6-10,245
186-1,Dylan Smith,,PG,6-5 / 175,88,2015,3.0,6-5,175
187-1,Dominic Green,,SF,6-7 / 200,88,2015,3.0,6-7,200
188-1,Roosevelt Smart,,SG,6-1 / 170,88,2015,3.0,6-1,170
189-1,Malik Hicks,,SF,6-6 / 190,88,2015,3.0,6-6,190
190-1,Chad Brown,,PF,6-8.5 / 230,88,2015,3.0,6-8.5,230
191-1,Jalen Poyser,,SG,6-4 / 175,88,2015,3.0,6-4,175
192-1,Dazon Ingram,,SG,6-5 / 183,88,2015,3.0,6-5,183
193-1,Sacar Anim,,SF,6-4 / 185,88,2015,3.0,6-4,185
194-1,Shawntrez Davis,,PF,6-8 / 215,88,2015,3.0,6-8,215
195-1,Ryan McMahon,,PG,5-11 / 165,88,2015,3.0,5-11,165
196-1,Paris Austin,,PG,5-11 / 160,88,2015,3.0,5-11,160
197-1,Tim Delaney,,PF,6-9 / 225,88,2015,3.0,6-9,225
198-1,Austin Conway,,PG,5-10 / 170,88,2015,3.0,5-10,170
199-1,Marquez Letcher-Ellis,,SF,6-7 / 170,88,2015,3.0,6-7,170
200-1,Roman Davis,,SF,6-6 / 165,88,2015,3.0,6-6,165
201-1,Hyron Edwards,,PG,5-11 / 160,88,2015,3.0,5-11,160
202-1,Curtis Cobb,,SG,6-3 / 180,88,2015,3.0,6-3,180
203-1,Brandon Austin,,SF,6-5 / 180,88,2015,3.0,6-5,180
204-1,Tacko Fall,,C,7-5 / 250,88,2015,3.0,7-5,250
205-1,Nych Smith,,PG,5-11 / 160,88,2015,3.0,5-11,160
206-1,Ernest Aflakpui,,C,6-9 / 220,88,2015,3.0,6-9,220
207-1,E'torrion Wilridge,,SF,6-6 / 170,88,2015,3.0,6-6,170
208-1,Camron Justice,,SG,6-2 / 175,88,2015,3.0,6-2,175
209-1,Jarrey Foster,,SF,6-4 / 180,88,2015,3.0,6-4,180
210-1,Luwane Pipkins,,PG,5-9 / 160,88,2015,3.0,5-9,160
211-1,Christ Koumadje,,C,7-3 / 220,88,2015,3.0,7-3,220
212-1,Tookie Brown,,PG,5-11 / 180,88,2015,3.0,5-11,180
213-1,Wendell Mitchell,,SG,6-3 / 180,88,2015,3.0,6-3,180
214-1,Cody Schwartz,,PF,6-8 / 190,88,2015,3.0,6-8,190
215-1,Khari Willis,,PG,6-0 / 187,88,2015,3.0,6-0,187
216-1,Chris Harris,,PF,6-9 / 220,88,2015,3.0,6-9,220
217-1,Dane Kuiper,,SF,6-6 / 185,88,2015,3.0,6-6,185
218-1,Jordan Murphy,,SF,6-7 / 215,88,2015,3.0,6-7,215
219-1,Joseph Toye,,SF,6-7 / 190,88,2015,3.0,6-7,190
220-1,James Bolden,,PG,6-0 / 160,88,2015,3.0,6-0,160
221-1,OG Anunoby,,SF,6-8 / 220,88,2015,3.0,6-8,220
222-1,Elijah Burns,,PF,6-8 / 215,88,2015,3.0,6-8,215
223-1,Derrik Smits,,PF,7-0 / 215,88,2015,3.0,7-0,215
224-1,Michael Jacobson,,PF,6-8 / 220,88,2015,3.0,6-8,220
225-1,Chance McSpadden,,SG,6-3 / 170,88,2015,3.0,6-3,170
226-1,Luis Santos,,PF,6-8 / 240,88,2015,3.0,6-8,240
227,Raymond Doby,,SF,6-7 / 200,88,2015,3.0,6-7,200
228-2,Paul Thomas,,C,6-8 / 180,88,2015,3.0,6-8,180
229-2,JoJo Anderson,,PG,6-3 / 156,88,2015,3.0,6-3,156
230-2,Raquan Mitchell,,CG,6-2 / 185,87,2015,3.0,6-2,185
231-2,C.J. Williamson,,PG,6-6 / 185,87,2015,3.0,6-6,185
232-2,Christian James,,SG,6-4 / 180,87,2015,3.0,6-4,180
233-2,Dupree McBrayer,,SG,6-4 / 175,87,2015,3.0,6-4,175
234-2,Dikembe Dixson,,SF,6-7 / 190,87,2015,3.0,6-7,190
235-2,Jack McVeigh,,SF,6-8 / 195,87,2015,3.0,6-8,195
236-2,Myles Carter,,PF,6-8 / 220,87,2015,3.0,6-8,220
237-2,Drew Eubanks,,PF,6-9 / 210,87,2015,3.0,6-9,210
238-2,Tre Scott,,PF,6-7 / 203,87,2015,3.0,6-7,203
239-2,Barry Brown,,PG,6-3 / 170,87,2015,3.0,6-3,170
240-2,Jake Lindsey,,SG,6-5 / 190,87,2015,3.0,6-5,190
241-2,Admiral Schofield,,SF,6-5 / 210,87,2015,3.0,6-5,210
242-2,Derrick Bruce,,PG,6-1 / 165,87,2015,3.0,6-1,165
243-2,Kejuan Johnson-Alls,,SF,6-5 / 200,87,2015,3.0,6-5,200
244-2,Elijah Cain,,PG,6-5 / 180,87,2015,3.0,6-5,180
245-2,Tommy Burton,,PF,6-8 / 193,87,2015,3.0,6-8,193
246-2,Charvon Julien,,PG,6-0 / 160,87,2015,3.0,6-0,160
247-2,Jordan Hunter,,PG,5-9 / 165,87,2015,3.0,5-9,165
1,Josh Jackson,,SG,6-7 / 202,101,2016,3.0,6-7,202
2,Lonzo Ball,,PG,6-6 / 170,101,2016,3.0,6-6,170
3,Harry Giles,,PF,6-11 / 222,100,2016,5.0,6-11,222
4,Markelle Fultz,,CG,6-4 / 170,100,2016,5.0,6-4,170
5,Frank Jackson,,PG,6-3 / 180,100,2016,5.0,6-3,180
6,De'Aaron Fox,,PG,6-3 / 171,99,2016,5.0,6-3,171
7,Dennis Smith Jr.,,PG,6-2 / 180,99,2016,5.0,6-2,180
8,Jayson Tatum,,SF,6-8 / 208,99,2016,5.0,6-8,208
9,Jonathan Isaac,,SF,6-10 / 185,99,2016,5.0,6-10,185
10,Malik Monk,,CG,6-3.5 / 187,99,2016,5.0,6-3.5,187
11,Miles Bridges,,SF,6-6 / 218,99,2016,5.0,6-6,218
12,Bam Adebayo,,PF,6-9 / 232,99,2016,5.0,6-9,232
13,Thon Maker,,PF,7-0 / 205,99,2016,5.0,7-0,205
14,Wenyen Gabriel,,PF,6-9 / 197,99,2016,5.0,6-9,197
15,Terrance Ferguson,,SG,6-7 / 180,99,2016,5.0,6-7,180
16,Lauri Markkanen,,PF,6-11 / 225,98,2016,5.0,6-11,225
17,Jarrett Allen,,PF,6-11 / 224,98,2016,5.0,6-11,224
18,Marques Bolden,,C,6-11 / 250,98,2016,5.0,6-11,250
19,TJ Leaf,,PF,6-9 / 215,98,2016,5.0,6-9,215
20,Zach Collins,,C,6-10 / 210,98,2016,5.0,6-10,210
21,Joshua Langford,,SG,6-5 / 200,98,2016,5.0,6-5,200
22,Dewan Hernandez,,PF,6-10 / 206,98,2016,5.0,6-10,206
23,Bruce Brown,,CG,6-4 / 201,98,2016,5.0,6-4,201
24,Austin Wiley,,PF,6-10.5 / 250,98,2016,5.0,6-10.5,250
25,Sacha Killeya-Jones,,PF,6-10 / 207,98,2016,5.0,6-10,207
26,Omer Yurtseven,,C,7-0 / 240,98,2016,5.0,7-0,240
27,Omari Spellman,,C,6-9 / 269,98,2016,5.0,6-9,269
28,Mustapha Heron,,SF,6-5 / 200,98,2016,5.0,6-5,200
29,Kobi Simmons,,CG,6-5 / 170,98,2016,5.0,6-5,170
30,Rawle Alkins,,SG,6-5 / 210,98,2016,5.0,6-5,210
31,Ty Jerome,,PG,6-4 / 175,97,2016,4.0,6-4,175
32,Alterique Gilbert,,PG,5-10 / 155,97,2016,4.0,5-10,155
33,Tony Bradley,,C,6-10 / 235,97,2016,4.0,6-10,235
34,V.J. King,,SF,6-6.5 / 189,97,2016,4.0,6-6.5,189
35,Cassius Winston,,PG,6-2 / 194,97,2016,4.0,6-2,194
36,Jay Huff,,PF,6-11 / 190,97,2016,4.0,6-11,190
37,De'Riante Jenkins,,SF,6-6 / 180,97,2016,4.0,6-6,180
38,Andrew Jones,,CG,6-4 / 180,97,2016,4.0,6-4,180
39,Tyus Battle,,SG,6-6 / 205,97,2016,4.0,6-6,205
40,Udoka Azubuike,,C,6-11 / 265,97,2016,4.0,6-11,265
41,Sam Cunliffe,,SF,6-7 / 180,96,2016,4.0,6-7,180
42,Jarron Cumberland,,SG,6-4 / 200,96,2016,4.0,6-4,200
43,Kyle Guy,,CG,6-2 / 155,96,2016,4.0,6-2,155
44,Markus Howard,,PG,5-11 / 170,96,2016,4.0,5-11,170
45,Justin Jackson,,SF,6-7 / 195,96,2016,4.0,6-7,195
46,Juwan Durham,,PF,6-11 / 200,96,2016,4.0,6-11,200
47,Kameron McGusty,,SG,6-5 / 170,96,2016,4.0,6-5,170
48,De'Ron Davis,,PF,6-10 / 240,96,2016,4.0,6-10,240
49,Schnider Herard,,C,6-10 / 240,96,2016,4.0,6-10,240
50,Nick Ward,,PF,6-8 / 241,95,2016,4.0,6-8,241
51,Jayce Johnson,,C,6-11 / 225,95,2016,4.0,6-11,225
52,Javin DeLaurier,,PF,6-9 / 215,95,2016,4.0,6-9,215
53,Kostas Antetokounmpo,,SF,6-9 / 190,95,2016,4.0,6-9,190
54,Ted Kapita,,PF,6-8 / 240,95,2016,4.0,6-8,240
55,Richard Freudenberg,,SF,6-8 / 190,95,2016,4.0,6-8,190
56,Brandon Robinson,,SG,6-5 / 160,94,2016,4.0,6-5,160
57,DeJon Jarreau,,CG,6-3 / 160,94,2016,4.0,6-3,160
58,JJ Caldwell,,PG,5-11 / 180,94,2016,4.0,5-11,180
59,Seventh Woods,,CG,6-2 / 175,94,2016,4.0,6-2,175
60,Taurean Thompson,,C,6-9 / 200,94,2016,4.0,6-9,200
61,Braxton Key,,SF,6-8 / 220,93,2016,3.0,6-8,220
62,James Banks,,C,6-10 / 230,93,2016,3.0,6-10,230
63,Mark Vital,,SF,6-6 / 220,93,2016,3.0,6-6,220
64,Mario Kegler,,SF,6-7 / 225,93,2016,3.0,6-7,225
65,Shamorie Ponds,,CG,5-11 / 160,93,2016,3.0,5-11,160
66,Trent Forrest,,SG,6-3 / 185,93,2016,3.0,6-3,185
67,Killian Tillie,,PF,6-10 / 230,93,2016,3.0,6-10,230
68,T.J. Gibbs,,PG,6-3 / 190,93,2016,3.0,6-3,190
69,Payton Pritchard,,PG,6-0 / 188,92,2016,3.0,6-0,188
70,Romello White,,PF,6-8 / 215,92,2016,3.0,6-8,215
71,Curtis Jones,,CG,6-4 / 170,92,2016,3.0,6-4,170
72,M.J. Cage,,PF,6-9 / 215,92,2016,3.0,6-9,215
73,Tyree Crump,,CG,6-3 / 175,92,2016,3.0,6-3,175
74,Troy Baxter,,PF,6-7 / 185,92,2016,3.0,6-7,185
75,Tyler Cook,,PF,6-8 / 240,92,2016,3.0,6-8,240
76,Kodye Pugh,,SF,6-8 / 185,92,2016,3.0,6-8,185
77,Myles Powell,,PG,6-1 / 200,92,2016,3.0,6-1,200
78,Brison Gresham,,PF,6-9 / 210,92,2016,3.0,6-9,210
79,Vance Jackson,,SF,6-8 / 220,92,2016,3.0,6-8,220
80,Matthew Moyer,,SF,6-8 / 210,92,2016,3.0,6-8,210
81,Amir Coffey,,SG,6-8 / 190,92,2016,3.0,6-8,190
82,Robert Williams,,PF,6-8 / 225,92,2016,3.0,6-8,225
83,Anthony Cowan,,PG,6-0 / 170,92,2016,3.0,6-0,170
84,Tony Carr,,PG,6-4 / 200,92,2016,3.0,6-4,200
85,Kevin Huerter,,SG,6-6 / 170,92,2016,3.0,6-6,170
86,JaQuori McLaughlin,,SG,6-2 / 165,92,2016,3.0,6-2,165
87,Jared Harper,,PG,5-11 / 155,92,2016,3.0,5-11,155
88,Markell Johnson,,PG,6-1 / 170,91,2016,3.0,6-1,170
89,Tyson Jolly,,SG,6-4 / 200,91,2016,3.0,6-4,200
90,Jaylen Fisher,,PG,6-2 / 170,91,2016,3.0,6-2,170
91,Keith Smith,,SF,6-7 / 190,91,2016,3.0,6-7,190
92,Lamar Stevens,,SF,6-7 / 225,91,2016,3.0,6-7,225
93,Zavier Simpson,,PG,5-11 / 165,91,2016,3.0,5-11,165
94,Ike Anigbogu,,C,6-9 / 230,91,2016,3.0,6-9,230
95,Sedee Keita,,PF,6-9 / 225,91,2016,3.0,6-9,225
96,Samuel Japhet-Mathias,,C,6-10 / 280,91,2016,3.0,6-10,280
97,Jacob Young,,PG,6-1 / 190,91,2016,3.0,6-1,190
98,Deshawn Corprew,,SF,6-5 / 190,91,2016,3.0,6-5,190
99,Brendan Bailey,,SF,6-7 / 170,91,2016,3.0,6-7,170
100,Breein Tyree,,PG,6-2 / 186,91,2016,3.0,6-2,186
101,Quentin Goodin,,PG,6-3 / 175,91,2016,3.0,6-3,175
102,Cameron McGriff,,SF,6-6 / 215,90,2016,3.0,6-6,215
103,D.J. Funderburk,,C,6-9 / 210,90,2016,3.0,6-9,210
104,Eli Wright,,SG,6-4 / 170,90,2016,3.0,6-4,170
105,Charlie Moore,,PG,5-10 / 160,90,2016,3.0,5-10,160
106,De'Andre Hunter,,SG,6-7 / 180,90,2016,3.0,6-7,180
107,Alpha Diallo,,SF,6-7 / 190,90,2016,3.0,6-7,190
108,Eric Hester,,SG,6-3 / 175,90,2016,3.0,6-3,175
109,Mitch Lightfoot,,PF,6-8 / 200,90,2016,3.0,6-8,200
110,Kwe Parker,,PG,6-2 / 172,90,2016,3.0,6-2,172
111,Skylar Mays,,CG,6-4 / 190,90,2016,3.0,6-4,190
112,Rodney Miller,,C,6-11 / 220,90,2016,3.0,6-11,220
113,Jonah Mathews,,SG,6-2 / 165,90,2016,3.0,6-2,165
114,Sam Hauser,,SF,6-6 / 190,90,2016,3.0,6-6,190
115,Lamar Peters,,PG,6-0 / 165,90,2016,3.0,6-0,165
116,Jacob Larsen,,PF,6-10 / 230,90,2016,3.0,6-10,230
117,John Mooney,,PF,6-9 / 240,90,2016,3.0,6-9,240
118,Tyson Carter,,SG,6-4 / 170,90,2016,3.0,6-4,170
119,DeAndre Williams,,SF,6-8 / 190,90,2016,3.0,6-8,190
120,Josh Hall,,SF,6-6 / 180,90,2016,3.0,6-6,180
121,Harry Froling,,C,6-9 / 230,90,2016,3.0,6-9,230
122,Cameron Lard,,PF,6-9 / 215,90,2016,3.0,6-9,215
123,Austin Davis,,C,6-10 / 240,90,2016,3.0,6-10,240
124,Donte Fitzpatrick,,SG,6-5 / 175,90,2016,3.0,6-5,175
125,Seth Towns,,SF,6-7 / 200,89,2016,3.0,6-7,200
126,Jethro Tshisumpa,,C,6-9 / 250,89,2016,3.0,6-9,250
127,Payton Willis,,PG,6-4 / 175,89,2016,3.0,6-4,175
128,Maliek White,,PG,6-2 / 170,89,2016,3.0,6-2,170
129,Clevon Brown,,PF,6-8 / 215,89,2016,3.0,6-8,215
130,Jakolby Long,,SG,6-4 / 200,89,2016,3.0,6-4,200
131,William McDowell-White,,CG,6-5 / 185,89,2016,3.0,6-5,185
132,Devearl Ramsey,,PG,5-11 / 175,89,2016,3.0,5-11,175
133,Oscar Frayer,,SF,6-5 / 175,89,2016,3.0,6-5,175
134,Quentin Jackson,,CG,6-4 / 195,89,2016,3.0,6-4,195
135,Koby McEwen,,PG,6-3 / 180,89,2016,3.0,6-3,180
136,Rui Hachimura,,SF,6-8 / -,89,2016,3.0,6-8,-
137,Solomon Young,,PF,6-6 / 215,89,2016,3.0,6-6,215
138,Tyrique Jones,,PF,6-7 / 235,89,2016,3.0,6-7,235
139,Carsen Edwards,,PG,6-0 / 175,89,2016,3.0,6-0,175
140,Zach Norvell Jr.,,SG,6-4 / 185,89,2016,3.0,6-4,185
141,Joey Brunk,,C,6-9 / 225,89,2016,3.0,6-9,225
142,Mamadou Diarra,,PF,6-7 / 215,89,2016,3.0,6-7,215
143,Gavin Baxter,,SF,6-6 / 165,89,2016,3.0,6-6,165
144,Eron Gordon,,SG,6-2 / 170,89,2016,3.0,6-2,170
145,Eric Curry,,PF,6-8 / 210,89,2016,3.0,6-8,210
146,Kristian Doolittle,,SF,6-6.5 / 215,89,2016,3.0,6-6.5,215
147,Jon Teske,,C,6-11 / 210,89,2016,3.0,6-11,210
148,Nate Morris,,C,6-9 / 240,89,2016,3.0,6-9,240
149,De'Monte Buckingham,,SG,6-3 / 185,89,2016,3.0,6-3,185
150,Cameron Satterwhite,,SG,6-3 / 170,89,2016,3.0,6-3,170
151,Jordy Tshimanga,,C,6-11 / 270,89,2016,3.0,6-11,270
152,Lindy Waters,,SG,6-5 / 180,89,2016,3.0,6-5,180
153,Yoeli Childs,,PF,6-7 / 220,89,2016,3.0,6-7,220
154,Cheickna Dembele,,C,6-11 / 220,89,2016,3.0,6-11,220
155,Kevin Marfo,,PF,6-8 / 240,89,2016,3.0,6-8,240
156,Reggie Todd,,SG,6-5 / 192,89,2016,3.0,6-5,192
157,Dylan Painter,,PF,6-10 / 230,89,2016,3.0,6-10,230
158,Rapolas Ivanauskas,,SF,6-8 / 200,89,2016,3.0,6-8,200
159,Eddie Ekiyor,,PF,6-9 / 220,89,2016,3.0,6-9,220
160,Abdul Ado,,C,6-11 / 235,89,2016,3.0,6-11,235
161,Bryce Aiken,,PG,5-9 / 150,89,2016,3.0,5-9,150
162,Xavier Sneed,,SF,6-5 / 190,89,2016,3.0,6-5,190
163,Christian Matthews,,SF,6-6 / 190,89,2016,3.0,6-6,190
164,Jalen Johnson,,SF,6-6 / 170,89,2016,3.0,6-6,170
165,Trevor Stanback,,PF,6-9 / 215,89,2016,3.0,6-9,215
166,Jordan Bone,,PG,6-2 / 165,89,2016,3.0,6-2,165
167,Nikola Djogo,,CG,6-7 / 185,89,2016,3.0,6-7,185
168,Daron Henson,,PF,6-8 / 180,89,2016,3.0,6-8,180
169,Kobe Paras,,SG,6-5 / 190,89,2016,3.0,6-5,190
170,Papa Ndiaye,,PF,6-9 / 215,89,2016,3.0,6-9,215
171,Jordan Harris,,SG,6-4 / 165,89,2016,3.0,6-4,165
172,Tim Harrison,,SF,6-9 / 180,89,2016,3.0,6-9,180
173,Sam Timmins,,C,6-10 / 250,89,2016,3.0,6-10,250
174,Corey Manigault,,PF,6-8 / 230,89,2016,3.0,6-8,230
175,Jordan Bruner,,SF,6-7 / 190,89,2016,3.0,6-7,190
176,Barret Benson,,C,6-9 / 240,89,2016,3.0,6-9,240
177,Chris Lewis,,PF,6-8 / 205,89,2016,3.0,6-8,205
178,Jordan Ford,,PG,6-0 / 150,89,2016,3.0,6-0,150
179,Chris Baldwin,,PF,6-7 / 230,89,2016,3.0,6-7,230
180,Tervell Beck,,SF,6-5 / 190,89,2016,3.0,6-5,190
181,Kamar Baldwin,,SG,6-2 / 175,89,2016,3.0,6-2,175
182,Brock Bertram,,C,6-11 / 240,89,2016,3.0,6-11,240
183,Jermaine Haley,,CG,6-7 / 185,89,2016,3.0,6-7,185
184,John Fulkerson,,PF,6-8 / 190,89,2016,3.0,6-8,190
185,CJ Walker,,PG,6-0 / 180,89,2016,3.0,6-0,180
186,Sagaba Konate,,PF,6-8 / 220,89,2016,3.0,6-8,220
187,Jordan Bowden,,SG,6-5 / 175,89,2016,3.0,6-5,175
188,Brandon Childress,,PG,6-0 / 170,89,2016,3.0,6-0,170
189,Maciej Bender,,PF,6-10 / 235,89,2016,3.0,6-10,235
190,Antwan Walker,,SF,6-7 / 215,88,2016,3.0,6-7,215
191,Bitumba Baruti,,SG,6-6 / 210,88,2016,3.0,6-6,210
192,Dejan Vasiljevic,,CG,6-2 / 180,88,2016,3.0,6-2,180
193,Christian Terrell,,SG,6-4 / 175,88,2016,3.0,6-4,175
194,Tyrn Flowers,,SF,6-8 / 205,88,2016,3.0,6-8,205
195,Elijah Hughes,,SG,6-5 / 205,88,2016,3.0,6-5,205
196,Micah Thomas,,SF,6-7 / 185,88,2016,3.0,6-7,185
197,Darius Hicks,,PF,6-7 / 210,88,2016,3.0,6-7,210
198,Dillon Mitchell,,PG,6-0.5 / 191,88,2016,3.0,6-0.5,191
199,Milan Acquaah,,PG,6-2 / 185,88,2016,3.0,6-2,185
200,Alani Moore,,PG,5-10 / 160,88,2016,3.0,5-10,160
201,Harrison Henderson,,PF,6-9 / 200,88,2016,3.0,6-9,200
202,Brandon Cyrus,,SG,6-4 / 180,88,2016,3.0,6-4,180
203,Grant Williams,,PF,6-7 / 235,88,2016,3.0,6-7,235
204,Kieran Hayward,,SG,6-5 / 187,88,2016,3.0,6-5,187
205,Lucas Siewert,,PF,6-10 / 230,88,2016,3.0,6-10,230
206,Devonte Green,,PG,6-2 / 175,88,2016,3.0,6-2,175
207,Nysier Brooks,,C,6-9 / 200,88,2016,3.0,6-9,200
208,Ibi Watson,,SG,6-4 / 180,88,2016,3.0,6-4,180
209,Clayton Hughes,,SF,6-5 / 190,88,2016,3.0,6-5,190
210,DaQuan Bracey,,PG,5-11 / 170,88,2016,3.0,5-11,170
211,Robert Baker,,PF,6-10 / 185,88,2016,3.0,6-10,185
212,Devon Daniels,,SG,6-4 / 185,88,2016,3.0,6-4,185
213,Saul Phiri,,SG,6-4 / 210,88,2016,3.0,6-4,210
214,Isaiah Roby,,SF,6-7 / 202,88,2016,3.0,6-7,202
215,Colin Slater,,PG,6-0 / 175,88,2016,3.0,6-0,175
216,Leland Green,,SG,6-2 / 165,88,2016,3.0,6-2,165
217,Frankie Hughes,,SG,6-3 / 170,88,2016,3.0,6-3,170
218,Travis Atson,,SF,6-5 / 190,88,2016,3.0,6-5,190
219,Josh Okogie,,SG,6-5 / 185,88,2016,3.0,6-5,185
220,Jeriah Horne,,PF,6-7 / 210,88,2016,3.0,6-7,210
221,Jalen McDaniels,,PF,6-8 / 190,88,2016,3.0,6-8,190
222,Matt Freeman,,C,6-10 / 212,88,2016,3.0,6-10,212
223,Malik Crowfield,,SG,6-4 / 175,87,2016,3.0,6-4,175
224,Jagan Mosely,,SG,6-3 / 205,87,2016,3.0,6-3,205
225,Tom Wilson,,SG,6-4 / 170,87,2016,3.0,6-4,170
226,Unique McLean,,SG,6-1 / 175,87,2016,3.0,6-1,175
227,A.J. Brodeur,,PF,6-8 / 195,87,2016,3.0,6-8,195
228,Willie Jackson,,SF,6-6 / 210,87,2016,3.0,6-6,210
229,Christian Vital,,CG,6-2 / 164,87,2016,3.0,6-2,164
230,Te'Jon Lucas,,PG,6-0 / 155,87,2016,3.0,6-0,155
231,Wayde Sims,,SF,6-6 / 210,87,2016,3.0,6-6,210
232,Justice Kithcart,,CG,6-2 / 170,87,2016,3.0,6-2,170
233,Jack White,,SF,6-7 / 220,87,2016,3.0,6-7,220
234,Cartier Diarra,,PG,6-4 / 180,87,2016,3.0,6-4,180
235,Isiah Brown,,PG,6-1 / 165,87,2016,3.0,6-1,165
236,D'Marcus Simonds,,SG,6-4 / 196,87,2016,3.0,6-4,196
237,Ben Kone,,PF,6-9 / 240,87,2016,3.0,6-9,240
238,Mitchell Smith,,PF,6-9 / 180,87,2016,3.0,6-9,180
239,Alex Hobbs,,SG,6-4 / 180,87,2016,3.0,6-4,180
240,Richard Washington,,SG,6-5 / 175,87,2016,3.0,6-5,175
241,Ben Coupet,,SF,6-7 / 175,87,2016,3.0,6-7,175
242,Ty Graves,,PG,5-11 / 160,87,2016,3.0,5-11,160
243,Anfernee McLemore,,PF,6-8 / 210,87,2016,3.0,6-8,210
244,Connor Harding,,SF,6-5 / 175,87,2016,3.0,6-5,175
245,Cordell Pemsl,,PF,6-7 / 230,87,2016,3.0,6-7,230
246,Michael Hurt,,SF,6-6 / 190,87,2016,3.0,6-6,190
247,Josh Parrish,,SF,6-5 / 190,87,2016,3.0,6-5,190
1,Marvin Bagley,,PF,6-10.5 / 221,100,2017,5.0,6-10.5,221
2,Michael Porter,,SF,6-10 / 213,100,2017,5.0,6-10,213
3,Mohamed Bamba,,PF,7-0 / 216,100,2017,5.0,7-0,216
4,Collin Sexton,,PG,6-2 / 182,100,2017,5.0,6-2,182
5,Deandre Ayton,,PF,7-0 / 250,100,2017,5.0,7-0,250
6,Mitchell Robinson,,C,7-0 / 222,100,2017,5.0,7-0,222
7,Trevon Duval,,PG,6-3 / 190,99,2017,5.0,6-3,190
8,Jaren Jackson,,PF,6-10 / 226,99,2017,5.0,6-10,226
9,Jarred Vanderbilt,,SF,6-9 / 213,99,2017,5.0,6-9,213
10,Wendell Carter,,PF,6-10 / 262,99,2017,5.0,6-10,262
11,Hamidou Diallo,,SG,6-5 / 195,99,2017,5.0,6-5,195
12,Troy Brown,,SF,6-7 / 210,99,2017,5.0,6-7,210
13,Brian Bowen,,SF,6-7 / 194,99,2017,5.0,6-7,194
14,Lonnie Walker,,SG,6-5 / 206,99,2017,5.0,6-5,206
15,Nick Richards,,C,7-0 / 239,98,2017,5.0,7-0,239
16,Brandon McCoy,,PF,6-11 / 244,98,2017,5.0,6-11,244
17,Gary Trent Jr.,,SG,6-5 / 213,98,2017,5.0,6-5,213
18,Kevin Knox,,SF,6-9 / 206,98,2017,5.0,6-9,206
19,PJ Washington,,PF,6-8 / 230,98,2017,5.0,6-8,230
20,Shai Gilgeous-Alexander,,CG,6-6 / 175,98,2017,5.0,6-6,175
21,Jaylen Hands,,PG,6-2 / 170,98,2017,5.0,6-2,170
22,Billy Preston,,PF,6-10 / 230,98,2017,5.0,6-10,230
23,Kris Wilkes,,SF,6-8 / 195,98,2017,5.0,6-8,195
24,Nick Weatherspoon,,PG,6-2 / 173,98,2017,5.0,6-2,173
25,Ethan Thompson,,SG,6-4 / 170,98,2017,5.0,6-4,170
26,Jontay Porter,,PF,6-10 / 225,98,2017,5.0,6-10,225
27,Brandon Randolph,,SG,6-6 / 183,98,2017,5.0,6-6,183
28,Emmanuel Akot,,SF,6-7 / 190,98,2017,5.0,6-7,190
29,Charles O'Bannon Jr.,,SG,6-5 / 190,98,2017,5.0,6-5,190
30,Trae Young,,PG,6-2 / 176,98,2017,5.0,6-2,176
